min,max,mean,count,std,year,month,adm3_pcode,adm3_en,adm2_en,adm1_en,zscore_category
-0.22087784111499786,0.08251514285802841,-0.08748900890350342,18,0.08635927263310894,2024,3,ET020105,Mile,Awsi /Zone 1,Afar,Normal
0.07813221961259842,0.2829994559288025,0.21540025302342006,14,0.06182821901294182,2024,3,ET020106,Chifra,Awsi /Zone 1,Afar,Normal
,,,0,,2024,3,ET020107,Dubti town,Awsi /Zone 1,Afar,Normal
-0.3228416442871094,0.0601687878370285,-0.18073429380144393,21,0.10618374916309337,2024,3,ET020108,Kori,Awsi /Zone 1,Afar,Normal
-0.2288476824760437,0.28887832164764404,0.05945125080290295,21,0.1515386817556542,2024,3,ET020109,Adar,Awsi /Zone 1,Afar,Normal
-0.4250867962837219,0.026601459830999374,-0.15486909213819003,38,0.14685166617081682,2024,3,ET020110,Gerani,Awsi /Zone 1,Afar,Normal
,,,0,,2024,3,ET020111,Asayita town,Awsi /Zone 1,Afar,Normal
0.2613396644592285,0.2613396644592285,0.2613396644592285,1,0.0,2024,3,ET020198,Samera Logiya town,Awsi /Zone 1,Afar,Normal
-0.49226048588752747,-0.37059739232063293,-0.44263231186639695,21,0.03461476381367928,2024,3,ET020201,Erebti,Kilbati /Zone2,Afar,Normal
-0.2139188051223755,-0.07569612562656403,-0.14453097184499106,3,0.05643052731471945,2024,3,ET020202,Kunneba,Kilbati /Zone2,Afar,Normal
-0.3690497875213623,0.18599289655685425,-0.19778353827340261,7,0.2063836645827656,2024,3,ET020203,Abaala,Kilbati /Zone2,Afar,Normal
-0.36994096636772156,0.04594767466187477,-0.18815350532531738,8,0.1144683857366457,2024,3,ET020204,Megale,Kilbati /Zone2,Afar,Normal
-0.4724694490432739,0.018876057118177414,-0.2773026657104492,25,0.12705313116449501,2024,3,ET020205,Berahile,Kilbati /Zone2,Afar,Normal
-0.39742350578308105,0.2873428463935852,-0.0905287504196167,20,0.19800576186484997,2024,3,ET020206,Dalol,Kilbati /Zone2,Afar,Normal
-0.4453277587890625,0.7467496991157532,-0.09420848342607606,106,0.3048426595628771,2024,3,ET020207,Afdera,Kilbati /Zone2,Afar,Normal
-0.2482742816209793,0.7605307102203369,0.21635943553486808,61,0.1986911546949324,2024,3,ET020208,Bidu,Kilbati /Zone2,Afar,Normal
0.13951830565929413,0.13951830565929413,0.13951830565929413,1,0.0,2024,3,ET020209,Abaala town,Kilbati /Zone2,Afar,Normal
-0.43343260884284973,-0.08840678632259369,-0.26862166325251263,6,0.12775833461539451,2024,3,ET020301,Amibara,Gabi /Zone 3,Afar,Normal
-0.5138037204742432,-0.17586027085781097,-0.35305748667035786,7,0.10557115093871652,2024,3,ET020302,Awash,Gabi /Zone 3,Afar,Normal
-0.4104655683040619,0.0298586618155241,-0.1833538464137486,70,0.07977802105993395,2024,3,ET020303,Gewane,Gabi /Zone 3,Afar,Normal
-0.46202412247657776,-0.008590782061219215,-0.23439992557872424,11,0.15392138003755948,2024,3,ET020304,Dulecha,Gabi /Zone 3,Afar,Normal
-0.34474053978919983,-0.15978984534740448,-0.26440753255571636,7,0.05429738781602059,2024,3,ET020305,Gelalu,Gabi /Zone 3,Afar,Normal
-0.1357991248369217,0.15584418177604675,-0.0064546894282102585,4,0.11634274378942966,2024,3,ET020306,Arguba,Gabi /Zone 3,Afar,Normal
-0.4540303647518158,-0.12706488370895386,-0.29204533650324893,26,0.0776225561705311,2024,3,ET020307,Hanruka,Gabi /Zone 3,Afar,Normal
,,,0,,2024,3,ET020396,Awash town,Gabi /Zone 3,Afar,Normal
-0.20002546906471252,0.4630221724510193,0.20251793610422233,19,0.1706349409966045,2024,3,ET020401,Awra (AF),Fanti /Zone 4,Afar,Normal
0.26586678624153137,0.415667325258255,0.35163875420888263,12,0.04568104326402367,2024,3,ET020402,Euwa,Fanti /Zone 4,Afar,Normal
-0.4354788064956665,0.018614089116454124,-0.2194860495773016,51,0.1160715664998383,2024,3,ET020403,Teru,Fanti /Zone 4,Afar,Normal
-0.07951807230710983,0.08139488101005554,-0.01818768892969404,7,0.052369023943208616,2024,3,ET020404,Yalo,Fanti /Zone 4,Afar,Normal
-0.047128643840551376,0.09026263654232025,-0.011187613010406494,6,0.046586790009568446,2024,3,ET020405,Gulina,Fanti /Zone 4,Afar,Normal
-0.10848899185657501,0.4564170241355896,0.10747621456782024,9,0.1789850107612403,2024,3,ET020501,Telalek,Hari /Zone 5,Afar,Normal
-0.47760117053985596,-0.027644610032439232,-0.31081357002258303,10,0.12946974771668956,2024,3,ET020502,Samurobi,Hari /Zone 5,Afar,Normal
-0.045833878219127655,0.5339972376823425,0.25319972038269045,5,0.22137590613154626,2024,3,ET020503,Dawe,Hari /Zone 5,Afar,Normal
-0.3131583631038666,0.2757311165332794,-0.029826309945848253,9,0.2271398315165516,2024,3,ET020504,Dalefage,Hari /Zone 5,Afar,Normal
-0.3809674084186554,0.11006556451320648,-0.09808284586126154,11,0.1416827416440001,2024,3,ET020505,Hadelela,Hari /Zone 5,Afar,Normal
-0.6089739203453064,0.027903743088245392,-0.2765812873840332,13,0.1972567641474372,2024,3,ET030101,Addi Arekay,North Gondar,Amhara,Normal
-0.8763429522514343,0.15476764738559723,-0.2685518463452657,6,0.33565018051424345,2024,3,ET030102,Beyeda,North Gondar,Amhara,Normal
-0.9441066384315491,-0.06229376047849655,-0.6868846893310547,10,0.266003353172091,2024,3,ET030103,Janamora,North Gondar,Amhara,Normal
-0.6396113634109497,-0.30084943771362305,-0.49036060680042615,11,0.10262396147032471,2024,3,ET030104,Debark,North Gondar,Amhara,Normal
-0.7570377588272095,-0.4397251307964325,-0.6078274250030518,8,0.11769105048825881,2024,3,ET030105,Dabat,North Gondar,Amhara,Normal
,,,0,,2024,3,ET030106,Dabat town,North Gondar,Amhara,Normal
-0.3354337513446808,0.22497600317001343,-0.048665915216718404,7,0.17055281792680455,2024,3,ET030119,Telemt,North Gondar,Amhara,Normal
,,,0,,2024,3,ET030198,Debark town,North Gondar,Amhara,Normal
-0.8282577395439148,-0.48940807580947876,-0.7075132642473493,14,0.07465160583450037,2024,3,ET030201,Ebenat,South Gondar,Amhara,Normal
-0.8382548689842224,-0.68397456407547,-0.7538022398948669,8,0.04651835375786274,2024,3,ET030202,Libokemekem,South Gondar,Amhara,Normal
-0.7338877320289612,-0.5593432188034058,-0.643815729353163,9,0.04841749100431631,2024,3,ET030203,Fogera,South Gondar,Amhara,Normal
-1.119886875152588,-0.7280578017234802,-0.9259440104166666,6,0.16177298129564888,2024,3,ET030204,Farta,South Gondar,Amhara,Normal
-0.9249365329742432,-0.6926957368850708,-0.8089849298650568,11,0.07634704839997196,2024,3,ET030205,Lay Gayint,South Gondar,Amhara,Normal
-0.7848354578018188,-0.546724796295166,-0.6578088487897601,7,0.09531503438482805,2024,3,ET030206,Tach Gayint,South Gondar,Amhara,Normal
-1.1288355588912964,-0.5711144804954529,-0.8743264675140381,12,0.13525046594490905,2024,3,ET030207,Semada,South Gondar,Amhara,Normal
-1.2559326887130737,-0.7269995808601379,-0.925567626953125,12,0.16687204262922412,2024,3,ET030208,East Esite,South Gondar,Amhara,Normal
-0.8984227180480957,-0.49809959530830383,-0.6793107986450195,14,0.1025715295651938,2024,3,ET030209,Dera (AM),South Gondar,Amhara,Normal
-0.8851202130317688,-0.8851202130317688,-0.8851202130317688,1,0.0,2024,3,ET030210,Debre Tabor town,South Gondar,Amhara,Normal
-1.090372085571289,-0.726777970790863,-0.8586973462785993,7,0.12103109729596279,2024,3,ET030211,Andabet/ West Esite,South Gondar,Amhara,Normal
-0.9765243530273438,-0.8126680850982666,-0.8819928169250488,3,0.06922792970153842,2024,3,ET030212,Guna Begemider,South Gondar,Amhara,Normal
-0.8832048177719116,-0.7649722099304199,-0.8190524918692452,7,0.04265703886948833,2024,3,ET030213,Mena Meketewa,South Gondar,Amhara,Normal
-0.9867002367973328,-0.6959598660469055,-0.8154042959213257,8,0.09905816662348474,2024,3,ET030214,Sede Muja,South Gondar,Amhara,Normal
,,,0,,2024,3,ET030215,Nefas Mewicha town,South Gondar,Amhara,Normal
,,,0,,2024,3,ET030216,Wegeda town,South Gondar,Amhara,Normal
,,,0,,2024,3,ET030217,Ebenat town,South Gondar,Amhara,Normal
,,,0,,2024,3,ET030218,Hamusit town,South Gondar,Amhara,Normal
,,,0,,2024,3,ET030293,Woreta town,South Gondar,Amhara,Normal
-0.8889761567115784,-0.8889761567115784,-0.8889761567115784,1,0.0,2024,3,ET030298,Mekan Eyesuse,South Gondar,Amhara,Normal
,,,0,,2024,3,ET030299,Adiss Zemen town,South Gondar,Amhara,Normal
-0.9087650179862976,-0.7575798034667969,-0.8205640316009521,12,0.04579817214950052,2024,3,ET030301,Bugna,North Wello,Amhara,Normal
-0.16157422959804535,1.1730396747589111,0.21964767575263977,16,0.41900153973518717,2024,3,ET030302,Raya Kobo,North Wello,Amhara,Normal
0.4999901056289673,1.8459270000457764,1.2803210152520075,9,0.43125460245993796,2024,3,ET030303,Gidan,North Wello,Amhara,Moderately Wet
-0.7324687838554382,-0.4437253177165985,-0.625194501876831,10,0.09491922184711389,2024,3,ET030304,Meket,North Wello,Amhara,Normal
-1.0762969255447388,0.5039438605308533,-0.726117730140686,8,0.47951332740105534,2024,3,ET030305,Wadla,North Wello,Amhara,Normal
,,,0,,2024,3,ET030306,Hara town,North Wello,Amhara,Normal
-0.0716669037938118,1.9261897802352905,0.7944308689662388,7,0.6545770962218738,2024,3,ET030307,Guba Lafto,North Wello,Amhara,Normal
-0.09635314345359802,0.18233619630336761,0.06330493905327537,11,0.09303075178695697,2024,3,ET030308,Habru,North Wello,Amhara,Normal
0.20306368172168732,0.23403877019882202,0.21855121850967407,2,0.015487544238569144,2024,3,ET030309,Woldiya town,North Wello,Amhara,Normal
-0.7269387245178223,0.606298565864563,-0.43864972250802176,7,0.44039280118069213,2024,3,ET030310,Lasta,North Wello,Amhara,Normal
-0.8824240565299988,-0.38645851612091064,-0.6503315766652426,6,0.14568817478088963,2024,3,ET030311,Dawunt,North Wello,Amhara,Normal
1.6979979276657104,1.6979979276657104,1.6979979276657104,1,0.0,2024,3,ET030312,Gazo,North Wello,Amhara,Moderately Wet
-0.9574072957038879,0.6896869540214539,-0.4830765724182129,5,0.6083301235302203,2024,3,ET030313,Angot,North Wello,Amhara,Normal
,,,0,,2024,3,ET030314,Filakit town,North Wello,Amhara,Normal
-0.9825243353843689,-0.9825243353843689,-0.9825243353843689,1,0.0,2024,3,ET030315,Gashena town,North Wello,Amhara,Normal
,,,0,,2024,3,ET030397,Mersa town,North Wello,Amhara,Normal
,,,0,,2024,3,ET030398,Lalibela town,North Wello,Amhara,Normal
,,,0,,2024,3,ET030399,Kobo town,North Wello,Amhara,Normal
0.27444884181022644,0.4319589138031006,0.3605409065882365,3,0.06513499657800452,2024,3,ET030401,Argoba,South Wello,Amhara,Normal
-0.7820450067520142,0.680202305316925,-0.13860358794530234,12,0.4558158193386258,2024,3,ET030402,Tenta,South Wello,Amhara,Normal
-0.20594438910484314,0.9121904969215393,0.2317885458469391,4,0.4451798466096884,2024,3,ET030403,Kutaber,South Wello,Amhara,Normal
-0.5178552865982056,0.7824764847755432,0.02186525861422221,9,0.3658457045281491,2024,3,ET030404,Ambasel,South Wello,Amhara,Normal
0.2597513496875763,0.40158236026763916,0.31596505641937256,3,0.061522010461222826,2024,3,ET030405,Thehulederie,South Wello,Amhara,Normal
-1.1333487033843994,1.603050947189331,-0.13729310035705566,9,1.0600398184187556,2024,3,ET030406,Delanta,South Wello,Amhara,Normal
0.15696389973163605,1.2806247472763062,0.5463042940412249,7,0.37655294715284554,2024,3,ET030407,Kalu,South Wello,Amhara,Normal
0.5916448831558228,1.4539371728897095,1.1348915100097656,4,0.3533899201195246,2024,3,ET030408,Albuko,South Wello,Amhara,Moderately Wet
0.4039536416530609,1.2505367994308472,0.7739596366882324,6,0.293018538825793,2024,3,ET030409,Dessie Zuria,South Wello,Amhara,Normal
-0.5600106716156006,-0.10910859704017639,-0.26391348242759705,8,0.12933825618621422,2024,3,ET030410,Legambo,South Wello,Amhara,Normal
-0.8373929262161255,-0.2851657569408417,-0.514134963353475,12,0.1460438678390378,2024,3,ET030411,Sayint,South Wello,Amhara,Normal
-0.6336750388145447,-0.2832584083080292,-0.4441885266985212,7,0.12395802329033416,2024,3,ET030412,Borena /Debresina,South Wello,Amhara,Normal
-0.7380850911140442,-0.2649814784526825,-0.5300628221951998,13,0.11818945189974153,2024,3,ET030413,Kelela,South Wello,Amhara,Normal
-0.44567281007766724,-0.15093044936656952,-0.29031673073768616,8,0.08833204094738055,2024,3,ET030414,Jama,South Wello,Amhara,Normal
0.06355024874210358,1.00944983959198,0.3975115844181606,7,0.290345664831992,2024,3,ET030415,Were Ilu,South Wello,Amhara,Normal
-0.6085381507873535,-0.21397344768047333,-0.4602975845336914,11,0.10915440809880933,2024,3,ET030416,Wegde,South Wello,Amhara,Normal
0.5415381193161011,0.5415381193161011,0.5415381193161011,1,0.0,2024,3,ET030417,Kombolcha town,South Wello,Amhara,Normal
0.2818771302700043,0.5465733408927917,0.43028942743937176,3,0.11042402418153945,2024,3,ET030418,Dessie town,South Wello,Amhara,Normal
-0.5971406102180481,-0.3450143039226532,-0.47562351226806643,5,0.08147917666572531,2024,3,ET030419,Mehal Sayint,South Wello,Amhara,Normal
-0.5611992478370667,-0.20803627371788025,-0.41022615432739257,5,0.1158863442528278,2024,3,ET030420,Legehida,South Wello,Amhara,Normal
-0.8255193829536438,-0.24753941595554352,-0.44485024611155194,12,0.19691930662743792,2024,3,ET030421,Mekdela,South Wello,Amhara,Normal
0.1587902158498764,0.31407803297042847,0.20288187265396118,6,0.0541390238842235,2024,3,ET030422,Worebabu,South Wello,Amhara,Normal
,,,0,,2024,3,ET030423,Wereilu town,South Wello,Amhara,Normal
,,,0,,2024,3,ET030424,Wegel tena town,South Wello,Amhara,Normal
,,,0,,2024,3,ET030425,Degolo town,South Wello,Amhara,Normal
,,,0,,2024,3,ET030426,Kelala town,South Wello,Amhara,Normal
,,,0,,2024,3,ET030427,Akeseta town,South Wello,Amhara,Normal
,,,0,,2024,3,ET030428,Tulu Awlia,South Wello,Amhara,Normal
,,,0,,2024,3,ET030429,Harbu town,South Wello,Amhara,Normal
,,,0,,2024,3,ET030498,Mekane Selame,South Wello,Amhara,Normal
,,,0,,2024,3,ET030499,Hike town,South Wello,Amhara,Normal
-0.3908722698688507,-0.2796992063522339,-0.34898753960927326,6,0.038716701857494394,2024,3,ET030501,Mida Woremo,North Shewa (AM),Amhara,Normal
-0.34452053904533386,-0.18490692973136902,-0.29457926750183105,8,0.04794744890152096,2024,3,ET030502,Merhabete,North Shewa (AM),Amhara,Normal
-0.23066414892673492,-0.13080228865146637,-0.19572279850641885,3,0.04595041659705126,2024,3,ET030503,Ensaro,North Shewa (AM),Amhara,Normal
-0.3251177966594696,0.07332701981067657,-0.16468976736068724,5,0.13601398911915066,2024,3,ET030504,Moretna Jiru,North Shewa (AM),Amhara,Normal
0.5376179814338684,1.3506487607955933,0.9852376937866211,10,0.27460602254379685,2024,3,ET030505,Menze Gera Midir,North Shewa (AM),Amhara,Normal
0.7298118472099304,1.4280478954315186,1.1399688720703125,6,0.22981303317890484,2024,3,ET030506,Gishe Rabel,North Shewa (AM),Amhara,Moderately Wet
1.0579566955566406,1.4322929382324219,1.2998207410176594,3,0.17128305024468893,2024,3,ET030507,Antsokiya,North Shewa (AM),Amhara,Moderately Wet
0.053319331258535385,0.3134213387966156,0.20591598749160767,4,0.09684448846956865,2024,3,ET030508,Eferatana Gidem,North Shewa (AM),Amhara,Normal
